start,end,group,peripheral
0xff200000,0xff21ffff,4,Data Flash
0xffa00000,0xffa0001f,1,FLMD
0xffa10000,0xffa11fff,1,Flash controller
0xffa20000,0xffa2ffff,1,FACI command-issuing area
0xffc00000,0xffc0000f,1,FENMI (ECON_NMI)
0xffc00100,0xffc0010f,1,FEINT (ECON_FEINT)
0xffc01000,0xffc01003,1,SELB_INTC (SL_INTC)
0xffc02000,0xffc0200f,1,SELB_DMAC (SL_DMAC)
0xffc03000,0xffc0300f,1,GRZF
0xffc10000,0xffc14ccf,1,PORT
0xffc20000,0xffc204cf,1,PORT(JTAG)
0xffc30000,0xffc3000f,1,DNFA_TAUD0 (DNF)
0xffc30020,0xffc3002f,1,DNFA_TAUB0 (DNF)
0xffc30040,0xffc3004f,1,DNFA_TAUB1 (DNF)
0xffc30060,0xffc3006f,1,DNFA_ENCA0 (DNF)
0xffc300a0,0xffc300af,1,DNFA_ADCA0 (DNF)
0xffc300c0,0xffc300cf,1,DNFA_ADCA1 (DNF)
0xffc300e0,0xffc300ef,1,DNFA_SENT (DNF)
0xffc34000,0xffc3401f,1,FCLA_NMI (FCLA0)
0xffc34020,0xffc3403f,1,FCLA_INTPL (FCLA0)
0xffc34040,0xffc3405f,1,FCLA_INTPH (FCLA0)
0xffc34060,0xffc3407f,1,FCLA_ADCA0 (FCLA0)
0xffc34080,0xffc3409f,1,FCLA_ADCA1 (FCLA0)
0xffc340a0,0xffc340bf,1,FCLA_INTPU (FCLA0)
0xffc40000,0xffc4004f,1,P-Bus guard (PBG10)
0xffc40100,0xffc4014f,1,P-Bus guard (PBG11)
0xffc40400,0xffc4044f,1,P-Bus guard (PBG12)
0xffc40500,0xffc4054f,1,P-Bus guard (PBG13)
0xffc49000,0xffc4907f,2,Global RAM Guard Bank A (MGDGR)
0xffc49200,0xffc4927f,2,Global RAM Guard Bank B (MGDGR)
0xffc4c000,0xffc4c00f,2,P-Bus guard (PBGC0)
0xffc4c110,0xffc4c13f,2,P-Bus guard (PBGC1)
0xffc4c800,0xffc4c80f,2,ERRSLV (PBGC0)
0xffc4c900,0xffc4c90f,2,ERRSLV (PBGC1)
0xffc59800,0xffc5981f,4,EEPRDCYCL (DCIB)
0xffc59c00,0xffc59c4f,4,P-Bus guard (PBG40)
0xffc5b000,0xffc5b003,2,FBUFCCTL (FBUF_CTRL)
0xffc62200,0xffc623ff,2,Code Flash ECC (CFECC_VCI)
0xffc62400,0xffc625ff,2,Code Flash ECC (CFECC_CPU1)
0xffc62a00,0xffc62a3f,4,Data Flash ECC (DFECC)
0xffc64000,0xffc6403f,2,Global RAM ECC Bank A (GRECC)
0xffc64200,0xffc6423f,2,Global RAM ECC Bank B (GRECC)
0xffc65000,0xffc6501f,2,Local RAM ECC TEST PE1 (LRTST)
0xffc65400,0xffc6547f,2,Local RAM ECC PE1 (LRECC)
0xffc70100,0xffc7011f,3,ECCCSIH0
0xffc70200,0xffc7021f,3,ECCCSIH1
0xffc70300,0xffc7031f,3,ECCCSIH2
0xffc70400,0xffc7041f,3,ECCCSIH3
0xffc71300,0xffc7131f,5,ECCCFD0MB
0xffc71400,0xffc7141f,5,ECCCFD0AFL0
0xffc71500,0xffc7151f,5,ECCCFD0AFL1
0xffc71800,0xffc7184f,5,P-Bus guard (PBG60)
0xffc73100,0xffc7311f,3,ECCFLXA0
0xffc73200,0xffc7321f,3,ECCFLXA0T0
0xffc73300,0xffc7331f,3,ECCFLXA0T1
0xffc74100,0xffc7411f,3,ECCETNB0TX
0xffc74200,0xffc7421f,3,ECCETNB0RX
0xffc78000,0xffc78003,1,SELB READ TEST (SL_READTEST)
0xffca0000,0xffca007f,1,RIIC0
0xffca0080,0xffca00ff,1,RIIC1
0xffcd0000,0xffcd01ff,1,PRDNAME/CHIPID (SCDS)
0xffce0000,0xffce007f,1,RLN240
0xffce0080,0xffce00ff,1,RLN241
0xffce0100,0xffce017f,1,RLN242
0xffce2000,0xffce203f,1,RLN30
0xffce2040,0xffce207f,1,RLN31
0xffce2080,0xffce20bf,1,RLN32
0xffce20c0,0xffce20ff,1,RLN33
0xffce2100,0xffce213f,1,RLN34
0xffce2140,0xffce217f,1,RLN35
0xffce2180,0xffce21bf,1,RLN36
0xffce21c0,0xffce21ff,1,RLN37
0xffcf0000,0xffcf007f,1,RSENT0
0xffcf0100,0xffcf017f,1,RSENT1
0xffd00000,0xffd1ffff,5,RCFDC0
0xffd6d000,0xffd6d7ff,3,ADCA1
0xffd6e000,0xffd6e7ff,3,ETNB0
0xffd70000,0xffd7003f,3,OSTM0
0xffd70100,0xffd7013f,3,OSTM1
0xffd70200,0xffd7023f,3,OSTM2
0xffd70300,0xffd7033f,3,OSTM3
0xffd70400,0xffd7043f,3,OSTM4
0xffd80000,0xffd8001f,3,"CSIH0 (CSIH0CTL0-2, CSIH0STR0, CSIH0STCR0, CSIH0EMU)"
